Meta-level Policy,Pretrained Percentile,Number of Steps,Return
Terminator,0.25,9,0.0
Terminator,0.25,25,4.0
Terminator,0.25,30,2.0
Terminator,0.25,32,0.0
Terminator,0.25,11,0.0
Terminator,0.25,43,2.0
Terminator,0.25,44,7.0
Terminator,0.25,48,3.0
Terminator,0.25,54,4.0
Terminator,0.25,58,11.0
Terminator,0.25,58,11.0
Terminator,0.5,7,0.0
Terminator,0.5,10,0.0
Terminator,0.5,45,2.0
Terminator,0.5,65,8.0
Terminator,0.5,76,5.0
Terminator,0.5,16,1.0
Terminator,0.5,7,0.0
Terminator,0.5,28,1.0
Terminator,0.5,95,8.0
Terminator,0.5,165,12.0
Terminator,0.75,10,2.0
Terminator,0.75,44,1.0
Terminator,0.75,28,1.0
Terminator,0.75,89,0.0
Terminator,0.75,39,4.0
Terminator,0.75,153,40.0
Terminator,0.75,58,9.0
Terminator,0.75,289,23.0
Terminator,0.75,295,48.0
Terminator,0.75,241,23.0
